EquivalentDiameters	AvgEulerAngles_0	AvgEulerAngles_1	AvgEulerAngles_2
0	0	0	0
8.058239	3.8990376	0.70229018	2.9002943
9.8369818	4.2824526	1.3188752	2.2141171
9.3048534	2.931371	1.0331606	3.4391901
9.6408758	3.0738628	0.5927282	3.6560078
14.22832	4.176825	0.70844269	2.4600253
12.047792	4.7022772	1.3865576	1.4763757
14.40618	2.1670535	0.92020011	3.5924959
11.780624	4.3788733	0.53992826	1.6513915
12.309163	5.8474946	0.80753285	0.73442191
9.2361813	6.2174592	0.34675211	5.8965411
9.3730211	3.53247	1.4194036	3.1078284
10.52482	1.0086858	1.5796624	5.382062
9.3048534	0.66532427	1.1159551	6.0670166
9.9655752	4.304904	0.45205095	2.1244876
9.7066851	4.9518414	0.3469587	1.0405654
9.166996	3.8548994	0.57992351	1.7678322
11.055813	5.3646088	0.43743974	0.52103752
15.877702	5.8012452	0.66180664	0.65851933
16.850294	1.2795836	0.63038367	4.7645054
8.6672449	4.1056681	0.41979846	2.0915699
9.7066851	6.265789	0.89966929	0.47493276
10.998079	5.1389551	0.40318984	1.2355639
16.195288	5.6014547	0.25861788	0.98323989
16.195288	0.0043057138	0.65276092	6.2384691
8.2918596	1.2479813	1.4807974	5.1849871
8.3682842	0.13668215	0.46703342	6.0801606
11.451798	4.7283697	1.0253744	1.1059928
9.4406977	0.37972328	0.50806957	5.8507085
9.5078917	2.6145928	1.4158406	3.7252293
8.2918596	2.4912972	0.152685	4.2144685
11.72646	5.5143247	0.81686705	1.4519473
13.773623	1.3533504	0.41830716	5.6871777
9.5746145	4.8021026	0.42017969	0.86998928
9.166996	2.1198239	0.50325102	3.5900159
8.740387	3.7818265	1.5272423	2.4432504
9.5078917	3.0512867	1.1149025	3.4449651
8.2147245	1.8530735	1.0329983	4.7110901
10.645108	2.5550265	0.43196723	3.9886355
9.5078917	3.8443787	1.5136786	2.7888229
8.8129225	3.344974	0.57386428	2.3418691
11.451798	0.87453175	1.5669701	5.477581
25.952721	4.0460429	0.41088352	2.4887981
8.2918596	2.0831673	1.5070196	4.6838241
11.055813	2.2221091	0.51330304	4.3540387
10.704744	2.4532552	0.1014487	3.5858374
12.153015	2.6707339	1.2008419	3.2589352
10.998079	5.4144135	0.29529557	0.28391597
9.0270329	5.3870692	0.88600069	0.92907292
15.59451	5.5138116	0.47451934	1.0515336
15.471556	5.9173279	0.42444137	6.2598467
9.3048534	3.8524115	1.2715579	2.482193
8.8129225	0.87744379	0.20800598	5.0329614
9.0972834	5.2126527	0.27956823	1.7447003
11.227231	5.1640477	1.0973951	1.3769612
8.4440165	2.1992044	0.32031769	3.4896061
9.9014874	1.8896576	0.59091532	4.060812
9.7066851	2.5803254	1.4341602	3.1906857
14.625465	4.0925603	0.61399448	2.1025112
15.797308	2.6923389	0.87664992	3.7931566
9.9655752	0.22458962	0.65738088	5.7372737
9.2361813	2.242965	0.033614863	4.3811765
10.403142	4.4355507	0.58254099	1.2919047
8.5190754	5.224658	0.49388719	1.0098968
8.2147245	1.2307495	0.98969084	5.2030721
13.634257	1.0887129	0.42481014	5.6813998
13.013103	5.6276855	0.64682609	1.1147605
